"Group","Indicator","X2019"
"Oahu visitors","Avg. age of party head",44.4
"Oahu visitors","First timer (%)",38.1
"Oahu visitors","Repeaters (%)",61.9
"Oahu visitors","Purpose: Pleasure-net (%)",81.8
"Oahu visitors","Accom: Hotel only (%)",61
"Oahu visitors","Purpose: Vacation (%)",75.5
"Oahu visitors","Accom: Condo (%)",10.1
"Oahu visitors","Purpose: Honeymoon/Get married (%)",6.9
"Oahu visitors","Accom: Condo only (%)",6.8
"Oahu visitors","Purpose: Honeymoon (%)",6.3
"Oahu visitors","Accom: Timeshare (%)",5.3
"Oahu visitors","Purpose: Get married (%)",1.1
"Oahu visitors","Accom: Timeshare only (%)",3.8
"Oahu visitors","Purpose: MCI-net (%)",4.6
"Oahu visitors","Accom: Rental house (%)",8.6
"Oahu visitors","Purpose: Conventions (%)",2.2
"Oahu visitors","Purpose: Corporate meetings (%)",0.9
"Oahu visitors","Accom: Cruise ship (%)",2.2
"Oahu visitors","Purpose: Incentive (%)",1.6
"Oahu visitors","Accom: Friends/Relatives (%)",10
"Oahu visitors","Purpose: Other business (%)",3.1
"Oahu visitors","Accom: B&B (%)",1.1
"Oahu visitors","Purpose: Visit Friends/Relative (%)",9.4
"Oahu visitors","Accom: Hostel (%)",1
"Oahu visitors","Purpose: Govt/Military (%)",1.6
"Oahu visitors","Accom: Camp site/Beach (%)",0.4
"Oahu visitors","Purpose: Attend school (%)",0.3
"Oahu visitors","Accom: Private room in private home (%)",1.7
"Oahu visitors","Purpose: Sport events (%)",1.2
"Oahu visitors","Accom: Shared room in private home (%)",0.5
"Oahu visitors","Purpose: Other purpose(%)",5.1
"Hawaii ISL visitors","Avg. age of party head",47.5
"Visitor from US","First timer (%)",26.7
"Hawaii ISL visitors","First timer (%)",32.9
"Visitor from US","Repeaters (%)",73.3
"Hawaii ISL visitors","Repeaters (%)",67.1
"Visitor from US","Purpose: Pleasure-net (%)",83.2
"Hawaii ISL visitors","Purpose: Pleasure-net (%)",87.1
"Visitor from US","Accom: Hotel only (%)",45
"Hawaii ISL visitors","Accom: Hotel only (%)",38.8
"Visitor from US","Purpose: Vacation (%)",80.3
"Hawaii ISL visitors","Purpose: Vacation (%)",83.5
"Visitor from US","Accom: Condo (%)",17.3
"Hawaii ISL visitors","Accom: Condo (%)",16.6
"Visitor from US","Purpose: Honeymoon/Get married (%)",3.6
"Hawaii ISL visitors","Purpose: Honeymoon/Get married (%)",4.3
"Visitor from US","Accom: Condo only (%)",13.9
"Hawaii ISL visitors","Accom: Condo only (%)",10.6
"Visitor from US","Purpose: Honeymoon (%)",3
"Hawaii ISL visitors","Purpose: Honeymoon (%)",3.8
"Visitor from US","Accom: Timeshare (%)",9.8
"Hawaii ISL visitors","Accom: Timeshare (%)",9.8
"Visitor from US","Purpose: Get married (%)",0.8
"Hawaii ISL visitors","Purpose: Get married (%)",0.8
"Visitor from US","Accom: Timeshare only (%)",7.8
"Hawaii ISL visitors","Accom: Timeshare only (%)",7
"Visitor from US","Purpose: MCI-net (%)",4.3
"Hawaii ISL visitors","Purpose: MCI-net (%)",4.4
"Visitor from US","Accom: Rental house (%)",12.1
"Hawaii ISL visitors","Accom: Rental house (%)",15.7
"Visitor from US","Purpose: Conventions (%)",2.5
"Hawaii ISL visitors","Purpose: Conventions (%)",2.6
"Visitor from US","Purpose: Corporate meetings (%)",1.1
"Hawaii ISL visitors","Purpose: Corporate meetings (%)",0.8
"Visitor from US","Accom: Cruise ship (%)",1.6
"Hawaii ISL visitors","Accom: Cruise ship (%)",6.2
"Visitor from US","Purpose: Incentive (%)",0.9
"Hawaii ISL visitors","Purpose: Incentive (%)",1.2
"Visitor from US","Accom: Friends/Relatives (%)",11.7
"Hawaii ISL visitors","Accom: Friends/Relatives (%)",10.4
"Visitor from US","Purpose: Other business (%)",3.5
"Hawaii ISL visitors","Purpose: Other business (%)",2.6
"Visitor from US","Accom: B&B (%)",1.2
"Hawaii ISL visitors","Accom: B&B (%)",2.7
"Visitor from US","Purpose: Visit Friends/Relative (%)",10.5
"Hawaii ISL visitors","Purpose: Visit Friends/Relative (%)",8.5
"Visitor from US","Accom: Hostel (%)",0.6
"Hawaii ISL visitors","Accom: Hostel (%)",1.2
"Visitor from US","Purpose: Govt/Military (%)",1.3
"Hawaii ISL visitors","Purpose: Govt/Military (%)",0.3
"Visitor from US","Accom: Camp site/Beach (%)",0.6
"Hawaii ISL visitors","Accom: Camp site/Beach (%)",1
"Visitor from US","Purpose: Attend school (%)",0.2
"Hawaii ISL visitors","Purpose: Attend school (%)",0.3
"Visitor from US","Accom: Private room in private home (%)",1.4
"Hawaii ISL visitors","Accom: Private room in private home (%)",2.7
"Visitor from US","Purpose: Sport events (%)",0.9
"Hawaii ISL visitors","Purpose: Sport events (%)",1.3
"Visitor from US","Accom: Shared room in private home (%)",0.5
"Hawaii ISL visitors","Accom: Shared room in private home (%)",0.8
"Visitor from US","Purpose: Other purpose(%)",3.4
"Hawaii ISL visitors","Purpose: Other purpose(%)",3
"Maui visitors","Avg. age of party head",46.5
"Maui visitors","First timer (%)",30.7
"Maui visitors","Repeaters (%)",69.3
"Maui visitors","Purpose: Pleasure-net (%)",90.7
"Maui visitors","Accom: Hotel only (%)",41.9
"Maui visitors","Purpose: Vacation (%)",86.2
"Maui visitors","Accom: Condo (%)",27.2
"Maui visitors","Purpose: Honeymoon/Get married (%)",5.1
"Maui visitors","Accom: Condo only (%)",21.4
"Maui visitors","Purpose: Honeymoon (%)",4.5
"Maui visitors","Accom: Timeshare (%)",10
"Maui visitors","Purpose: Get married (%)",0.9
"Maui visitors","Accom: Timeshare only (%)",7.5
"Maui visitors","Purpose: MCI-net (%)",4.3
"Maui visitors","Accom: Rental house (%)",9.3
"Maui visitors","Purpose: Conventions (%)",2.2
"Maui visitors","Purpose: Corporate meetings (%)",1
"Maui visitors","Accom: Cruise ship (%)",3.8
"Maui visitors","Purpose: Incentive (%)",1.3
"Maui visitors","Accom: Friends/Relatives (%)",6.3
"Maui visitors","Purpose: Other business (%)",1.9
"Maui visitors","Accom: B&B (%)",1.4
"Maui visitors","Purpose: Visit Friends/Relative (%)",5.3
"Maui visitors","Accom: Hostel (%)",1.2
"Maui visitors","Purpose: Govt/Military (%)",0.2
"Maui visitors","Accom: Camp site/Beach (%)",1
"Maui visitors","Purpose: Attend school (%)",0.1
"Maui visitors","Accom: Private room in private home (%)",1.4
"Maui visitors","Purpose: Sport events (%)",0.6
"Maui visitors","Accom: Shared room in private home (%)",0.4
"Maui visitors","Purpose: Other purpose(%)",2.6
"Molokai visitors","Avg. age of party head",50.2
"Molokai visitors","First timer (%)",34.4
"Molokai visitors","Repeaters (%)",65.6
"Molokai visitors","Purpose: Pleasure-net (%)",83.1
"Molokai visitors","Accom: Hotel only (%)",29.9
"Molokai visitors","Purpose: Vacation (%)",79.6
"Molokai visitors","Accom: Condo (%)",22.9
"Molokai visitors","Purpose: Honeymoon/Get married (%)",4.4
"Molokai visitors","Accom: Condo only (%)",13.9
"Molokai visitors","Purpose: Honeymoon (%)",3.5
"Molokai visitors","Accom: Timeshare (%)",6.2
"Molokai visitors","Purpose: Get married (%)",1.1
"Molokai visitors","Accom: Timeshare only (%)",3.7
"Molokai visitors","Purpose: MCI-net (%)",4
"Molokai visitors","Accom: Rental house (%)",14.9
"Molokai visitors","Purpose: Conventions (%)",2.3
"Molokai visitors","Purpose: Corporate meetings (%)",0.9
"Molokai visitors","Accom: Cruise ship (%)",9.6
"Molokai visitors","Purpose: Incentive (%)",1
"Molokai visitors","Accom: Friends/Relatives (%)",16.2
"Molokai visitors","Purpose: Other business (%)",3.6
"Molokai visitors","Accom: B&B (%)",4.5
"Molokai visitors","Purpose: Visit Friends/Relative (%)",13.4
"Molokai visitors","Accom: Hostel (%)",1.5
"Molokai visitors","Purpose: Govt/Military (%)",0.6
"Molokai visitors","Accom: Camp site/Beach (%)",3.4
"Molokai visitors","Purpose: Attend school (%)",0.5
"Molokai visitors","Accom: Private room in private home (%)",2.5
"Molokai visitors","Purpose: Sport events (%)",2.4
"Molokai visitors","Accom: Shared room in private home (%)",3.2
"Molokai visitors","Purpose: Other purpose(%)",4.5
"Lanai visitors","Avg. age of party head",49.4
"Lanai visitors","First timer (%)",37
"Lanai visitors","Repeaters (%)",63
"Lanai visitors","Purpose: Pleasure-net (%)",85.8
"Lanai visitors","Accom: Hotel only (%)",48.9
"Lanai visitors","Purpose: Vacation (%)",81.8
"Lanai visitors","Accom: Condo (%)",14.7
"Lanai visitors","Purpose: Honeymoon/Get married (%)",4.7
"Lanai visitors","Accom: Condo only (%)",10.4
"Lanai visitors","Purpose: Honeymoon (%)",4.1
"Lanai visitors","Accom: Timeshare (%)",6
"Lanai visitors","Purpose: Get married (%)",0.8
"Lanai visitors","Accom: Timeshare only (%)",4.1
"Lanai visitors","Purpose: MCI-net (%)",5.1
"Lanai visitors","Accom: Rental house (%)",9.7
"Lanai visitors","Purpose: Conventions (%)",1.8
"Lanai visitors","Purpose: Corporate meetings (%)",1
"Lanai visitors","Accom: Cruise ship (%)",8.3
"Lanai visitors","Purpose: Incentive (%)",2.6
"Lanai visitors","Accom: Friends/Relatives (%)",10.3
"Lanai visitors","Purpose: Other business (%)",3.6
"Lanai visitors","Accom: B&B (%)",3
"Lanai visitors","Purpose: Visit Friends/Relative (%)",7.4
"Lanai visitors","Accom: Hostel (%)",1.2
"Lanai visitors","Purpose: Govt/Military (%)",0.3
"Lanai visitors","Accom: Camp site/Beach (%)",2.6
"Lanai visitors","Purpose: Attend school (%)",0.3
"Lanai visitors","Accom: Private room in private home (%)",1.8
"Lanai visitors","Purpose: Sport events (%)",0.8
"Lanai visitors","Accom: Shared room in private home (%)",1.6
"Lanai visitors","Purpose: Other purpose(%)",4.4
"Kauai visitors","Avg. age of party head",47.8
"Kauai visitors","First timer (%)",29.3
"Kauai visitors","Repeaters (%)",70.7
"Kauai visitors","Purpose: Pleasure-net (%)",91.3
"Kauai visitors","Accom: Hotel only (%)",33.4
"Kauai visitors","Purpose: Vacation (%)",86.7
"Kauai visitors","Accom: Condo (%)",20.3
"Kauai visitors","Purpose: Honeymoon/Get married (%)",5.4
"Kauai visitors","Accom: Condo only (%)",14.1
"Kauai visitors","Purpose: Honeymoon (%)",4.8
"Kauai visitors","Accom: Timeshare (%)",15.3
"Kauai visitors","Purpose: Get married (%)",0.9
"Kauai visitors","Accom: Timeshare only (%)",11.5
"Kauai visitors","Purpose: MCI-net (%)",3
"Kauai visitors","Accom: Rental house (%)",15.3
"Kauai visitors","Purpose: Conventions (%)",1.9
"Kauai visitors","Purpose: Corporate meetings (%)",0.6
"Kauai visitors","Accom: Cruise ship (%)",7.4
"Kauai visitors","Purpose: Incentive (%)",0.7
"Kauai visitors","Accom: Friends/Relatives (%)",7.1
"Kauai visitors","Purpose: Other business (%)",2
"Kauai visitors","Accom: B&B (%)",1.7
"Kauai visitors","Purpose: Visit Friends/Relative (%)",6.2
"Kauai visitors","Accom: Hostel (%)",1.2
"Kauai visitors","Purpose: Govt/Military (%)",0.4
"Kauai visitors","Accom: Camp site/Beach (%)",1.6
"Kauai visitors","Purpose: Attend school (%)",0.1
"Kauai visitors","Accom: Private room in private home (%)",1.8
"Kauai visitors","Purpose: Sport events (%)",0.4
"Kauai visitors","Accom: Shared room in private home (%)",0.6
"Kauai visitors","Purpose: Other purpose(%)",2.6
